,length,width,arch_height,shoe_style,length_size,width_size
98997,0.25673134,0.1015059485,0.006983689249999999,a,9.0,8
122297,0.26856640000000004,0.0991631225,0.014080761,m,10.5,6
98548,0.29394984,0.112757265,0.0095070491,a,13.0,8
98854,0.26591618,0.09752043699999999,0.00892768845,a,10.5,6
100188,0.247929875,0.09147844449999999,0.0137338035,a,8.0,6
122645,0.28201705,0.11653744,0.015510825,m,12.0,8
122933,0.292102885,0.104627175,0.01586994,m,13.0,6
122196,0.255566015,0.0951304395,0.0165293655,m,9.5,6
98780,0.28194542,0.101877065,0.0077887925,a,12.5,6
99260,0.28006786,0.09643177300000001,0.0095447343,a,11.5,4
122587,0.24761196,0.090082729,0.011101515,m,7.0,6
98921,0.26058706499999995,0.098999001,0.0123217355,a,9.5,6
98981,0.255876315,0.103190665,0.0208400025,a,9.0,8
98808,0.288229615,0.10683333,0.0139864225,a,12.5,6
97901,0.26784163,0.09859135,0.021624977000000004,a,10.5,6
121722,0.26109229,0.107544915,0.0198499485,m,9.0,8
97712,0.26267656500000003,0.106172095,0.011670701499999998,a,10.5,8
100098,0.274041475,0.10949113,0.0181868635,a,11.5,8
98425,0.26130296000000003,0.10057675,0.016580644999999998,a,9.5,8
122471,0.24857565,0.100811235,0.017076577000000003,m,8.0,6
123155,0.27258378,0.110470505,0.0129089775,m,11.0,8
98783,0.28752051,0.100557445,0.011373341,a,12.5,6
97902,0.26976569,0.0986876075,0.0114195505,a,10.5,6
100073,0.277046065,0.099927626,0.007960883700000001,a,11.5,6
99634,0.270594235,0.106511205,0.012834985,a,11.0,6
98354,0.270540295,0.101865165,0.0065887924,a,11.0,8
122944,0.24697129999999998,0.0987746065,0.013794686,m,8.0,8
98349,0.280947265,0.10175366,0.0043829719,a,12.0,6
99442,0.28761004,0.110507005,0.013367302,a,13.0,6
99673,0.26819617500000004,0.114385335,0.0167930685,a,10.5,10
99681,0.26768659,0.110004525,0.014828758,a,10.5,10
97557,0.242436795,0.097020708,0.012062253,a,8.0,6
122341,0.26130098,0.093401834,0.011459273,m,9.5,6
122535,0.26427304500000004,0.09956009699999999,0.017437517,m,10.5,6
121810,0.25789929500000003,0.10535892,0.017695323,m,9.5,8
100065,0.26580618,0.09975853,0.0216995335,a,10.5,6
122115,0.294954265,0.107044415,0.0111822913,m,12.5,6
121802,0.26078774,0.104045435,0.0110710715,m,9.5,8
98685,0.259718805,0.09553343449999999,0.008731498400000001,a,10.5,6
99130,0.260949115,0.09999076949999999,0.0164937255,a,9.0,6
98642,0.29487629000000004,0.110532495,0.00583508845,a,13.0,6
97856,0.274100075,0.0960906965,0.00806205375,a,10.5,6
97736,0.262415885,0.0996487515,0.00848755335,a,10.5,8
98992,0.24843346,0.100774435,0.010450298299999999,a,9.0,8
122043,0.27986109000000003,0.10396941,0.00936770285,m,11.5,6
99215,0.278871415,0.0994479545,0.016280926,a,11.5,6
98813,0.282508655,0.10251615,0.011279243049999998,a,12.5,6
100039,0.231637015,0.08409714700000001,0.0102625435,a,7.0,6
100171,0.26055360000000005,0.102746285,0.012675275,a,9.5,8
99090,0.28022332,0.1022097,0.00935108265,a,14.0,6
122877,0.249131665,0.09324501449999999,0.0169497515,m,8.5,6
122443,0.280461515,0.114296095,0.0209416075,m,11.5,10
98209,0.271163995,0.093253538,0.010955985500000001,a,11.0,6
121889,0.29239805,0.11788315,0.021968665499999998,m,13.0,8
122303,0.2804296,0.109025535,0.018003309000000002,m,12.0,6
122145,0.292401505,0.102738715,0.019757865,m,12.5,6
122210,0.25542053499999995,0.0936638635,0.013119641,m,9.5,6
100139,0.27650141500000003,0.10740535,0.0115877335,a,11.5,8
99955,0.291475015,0.102255865,0.0085339779,a,12.0,4
122346,0.263251245,0.1003481465,0.0127529715,m,9.5,6
122828,0.29123743,0.11815039,0.017908977,m,13.0,10
99299,0.26262879,0.093610276,0.0134880355,a,10.0,6
122614,0.27762629,0.099738947,0.016294938999999998,m,11.5,6
121821,0.26433971,0.10281778,0.0119990255,m,9.5,8
100221,0.248217995,0.100987885,0.0123209719,a,8.5,6
99629,0.277480705,0.09962237199999999,0.0090085467,a,11.0,6
121966,0.27981494500000004,0.10329307,0.0172195525,m,12.0,6
98323,0.2632412,0.09489754550000001,0.0158228125,a,10.0,6
98077,0.277982725,0.10149981,0.0151536385,a,12.0,6
98915,0.26045598000000003,0.102751575,0.0183848715,a,9.5,6
99973,0.263038395,0.096078484,0.0160321385,a,9.5,4
123011,0.25348702,0.0946686975,0.016185945,m,8.5,6
122571,0.26418501,0.10584347,0.0196757365,m,10.5,6
99003,0.252735045,0.10375513,0.0116182515,a,9.0,8
98227,0.286025165,0.102528275,0.00697833885,a,11.0,6
97793,0.26299715,0.101816109,0.0167877395,a,10.0,6
121552,0.27002008,0.10746757,0.0140666315,m,10.5,6
98927,0.25943209,0.0999118745,0.009501045,a,9.5,6
100220,0.24826638,0.0884819035,0.0165608505,a,8.5,6
122131,0.28720791,0.099591809,0.0203907535,m,12.5,6
123090,0.27454690000000004,0.0998591725,0.0205976255,m,11.0,6
99999,0.27015514500000004,0.10125678,0.0083120803,a,10.5,6
122199,0.26274915,0.097950991,0.014438098,m,9.5,6
97716,0.273152095,0.110822385,0.014880423,a,10.5,8
97646,0.265431295,0.10634949999999999,0.0113229595,a,10.0,8
98198,0.270776355,0.10221242,0.00814050465,a,11.0,6
99447,0.288607465,0.100717865,0.015677555,a,13.0,6
122890,0.254769175,0.100866285,0.0164757435,m,9.0,6
99198,0.27646455000000003,0.105161915,0.013889577,a,11.5,6
99566,0.27372739999999995,0.101740165,0.018799532,a,11.0,6
122629,0.269986535,0.094023667,0.015101483999999997,m,11.5,6
99328,0.28096434000000003,0.1043382,0.0093715596,a,11.5,8
123127,0.29793346,0.114544495,0.0123107525,m,14.0,8
123323,0.244516935,0.0994329095,0.015096958999999997,m,8.0,8
100199,0.29871414500000004,0.104438945,0.00343069195,a,14.0,6
97833,0.25660148000000005,0.095804885,0.010552311699999999,a,10.0,6
99425,0.295609025,0.115972,0.006627918000000001,a,13.0,6
122376,0.271916505,0.109122285,0.016627962,m,11.0,8
98570,0.27432516,0.099135421,0.0029863182,a,11.5,6
99948,0.28095528000000003,0.098979328,0.01217101025,a,12.0,4
123250,0.257270675,0.10227872,0.016410202,m,8.0,6
98928,0.26299199500000003,0.096221612,0.0085964962,a,9.5,6
98264,0.27286252,0.1000440015,0.00642650945,a,11.0,6
98334,0.26449406,0.095234979,0.0054648416,a,10.0,6
99577,0.27445158000000003,0.09839718800000001,0.0060804454,a,11.0,6
99185,0.27940170000000003,0.09954714,0.018686425,a,11.5,6
122332,0.269225925,0.09912261,0.00788623305,m,9.5,6
99200,0.27909723,0.10318635,0.017045080499999997,a,11.5,6
